date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2023.06.13,5점만점에 3점,"건성, 가을웜톤, 각질, 모공",,,[옵션] 01 빈티지애플,"사진이랑 실제발색이 매~~~~~우 달라요.
그래서 두세번 바르고 지금은 안 바르게 되는 립 ㅠㅠ",3,보통이에요,보통이에요,보통이에요,아주 촉촉해요, 가을웜톤
2024.09.04,5점만점에 3점,,,,[옵션] 14 하트핑크다이아,"인스타보고 여쿨라 추천템이라 해서 샀는데

첨에 바를땐 예쁜데 시간 지날수록 다크닝현상있음
-> 겨쿨색처럼되서 안어울려짐

광은 나는데 안은 건조한 느낌
-> 없던 입술 주름도 생김

요플레현상 좀 생기는분이라면
-> 90퍼센트 꽤 심하게 생깁니다...!!!!

저는 재구매 절대 안할거같고..
진해지는 입술 안어울리는 사람 절대 구매 xx

맑고 투명한 대왕 촉촉립찾으시면
컬*그램 딸기키킥으로 가십시오..",0,다소 아쉬워요,지속이 오래돼요,아주 만족해요,보통이에요,
2024.09.02,5점만점에 3점,,,,[옵션] 13 코숏진주코랄,하... 개짱남 걍 화면이랑 완존 다름!!!!!! 냄새는 괜찮았고 디자인은 너무너머 맘에 들었어요 너무 연하긴한데.... 손바닥에 바를때랑 잊술에 바를때하고 색이 너무너무너무 차이가 심해서 씁.... 흠 그래서 다른색으로 재구매했숩니다,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요,
2024.09.01,5점만점에 3점,,,한달이상사용,[옵션] [미니글로스 기획] 14 하트핑크다이아,한달 사용해보고 리뷰 남겨봐요 ( ◠‿◠ ) 지속력은 다만 아쉽지만 광택은 은은하고 이쁘게 올라와요🩷여클분들한테 완전 강추고요 여름에 쓰기엔 좀 무거운 느낌이 있어서 겨울에 촉촉하게 쓰려구여 아쉬운점은 요플레 현상이 좀 많이 심해요.. 각질 제거 완벽하게 하시고 사용하시길!,0,아주 만족해요,보통이에요,보통이에요,보통이에요,
2024.06.07,5점만점에 3점,,,한달이상사용,[옵션] 05 프레쉬체리,입술 가장자리에 착색이 있는 편이고 이거 바르기 전에 쿠션 두드리고 라인 다른 틴트로 그려주고 안 쪽에 바릅니다. 바르자마자는 쫀쫀하고 광택있고 아주 맘에 드는데 시간이 지나면 여름인데도 갈라지는 느낌이 좀 드는거 같아요. 자기 전에 항상 립밤 촉촉한거로 바르고 자서 나가기 전에는 아주 맘에 드는데 시간이 지나면 채도 강하게 착색되어 남아있는 것 같습니다ㅠ,0,아주 만족해요,보통이에요,아주 만족해요,아주 촉촉해요,
2024.05.31,5점만점에 3점,,,,[옵션] [미니글로스 기획] 16 럭셔리모브루비,넘 좋아하는 제형인 클리오의 크글틴 처음 출시될 때 나왔던 컬러들은 흔하지 않고 다양해서 좋았는데 저번에 새로 추가된 4컬러와 이번에 냥생역전 에디션 4컬러 다 좀 흔하고 그닥 이쁜지 잘 모르겠어요 ㅠㅠ 이번 모브 컬러도 약간 텁텁한 느낌…? 제형이 워낙 좋고 글로스 기획이 알차서 구매했는데 컬러가 자줏빛 컬러라서 ㅠㅠ 다음 신상 컬러 기대합니다,1,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,
2024.04.23,5점만점에 3점,,,,[옵션] 05 프레쉬체리,사실 몇번 떨어뜨려서 투명색 부분이 떨어졌어요…그래서 볼품없는 모습이 됐는데 좀 귀여워서 아직 쓰고있어요 무엇보다 너무 지속력이 짧아요ㅠㅠㅠ 계속 덧 발라야되고 바르고 손으로 블렌딩 하면 약간 때같은거 좀 나와서 그래도 매트랑 글로우 좀 사이? 그건 좋어용,0,아주 만족해요,예상보다 짧아요,보통이에요,보통이에요,
2024.02.18,5점만점에 3점,,,,[옵션] 08 젠틀시나몬,"처음에 발색해봤을때는 상당히 당황..~
채도 있는 레드 정도로 예상했는데 웬 딥한 핑크가 있더라구요
한 2~3분 정도 기다리니까 좀 더 색이 웜해지긴 했어요
그래도 여전히 장미색이라 한 콧만 발라서 쿨병 걸렸을때 써볼려구요
근데 색깔 말곤 다 맘에 드는 거 같아서
사실거면 오프라인 매장 추천ㄱㄱ",0,다소 아쉬워요,지속이 오래돼요,보통이에요,아주 촉촉해요,
2023.11.08,5점만점에 3점,,,,[옵션] 06 데일리모브,부드럽고 촉촉하게 잘발려요. 색도 햇빛에 비추면 너무 자연스럽고 이쁜 탕후루립이 돼요. 아쉬운 점은 색이 연하다 보니 겹겹으로 바르게 되는데 흔히 말하는 요플레 현상이 엄청 심해요.. ㅜㅜ 잘못바르면 입술 안쪽에 하얗게 때낀 거 마냥 뭉쳐있더라구요ㅜㅜ 이점만 없으면 다음에 또 살 의향이 있을 것 같아요......,1,보통이에요,지속이 오래돼요,다소 아쉬워요,아주 촉촉해요,
2023.10.21,5점만점에 3점,,,,[옵션] 01 빈티지애플,"생각보다 너무 지속력이 떨어져서 아쉽게도 다른 제품 구매하려고 다시 또 찾아보고 있습니다.. 정말 오랜 고민 끝에 구매했는데 한시간도 안되서 입술색이 없어지고, 촉촉한건 좋지만 마르고나면 너무 건조해져서 립밤도 필수에요..
기름진거에 기름진걸 바르려니 괜히 샀을만큼 돈도 아까우며.. 지속력은 밥외에도 음료 몇모금 먹고 나면 색상이 없어져있습니다.. 발색 또한 보여지는 색상이 같은 제품이 맞는지 의아하고 향은 무슨 향이 나는지 모르겠어요
난생처음 하루 쓰고 다른 제품 사려고 찾아보기도 처음입니다.
좋은 평을 남겨드리지 못해 죄송하며 저와같은 이유로 아쉬움이 남는 제품을 쓰지 않도록 정말 진솔하게 작성했습니다",1,보통이에요,예상보다 짧아요,보통이에요,보통이에요,
